id,title,hymn_tune_title,book,page_number,composer,holiday
812,"Rondeau From Suitte De Simphonies, No 1",,from this day forward,72,mouret,
813,Safe In His Care,,chimings for organ,11,paxton,
814,Salvation,Salvation,americana organ settings of early american hymns,22,martin,
815,Samanthra,,eight quiet preludes on american hymntunes,21,callahan,
816,Sarabande,,baroque music for manuals,17,leclair,
817,"Savior, Like A Shepherd Lead Us",,from this day forward,23,bradbury,
818,"Savior, Thy Dying Love",Something for Jesus,come to the alter,15,smith,
819,"Savior, When In Dust To Thee",Spanish Chant,the parish organist part three,56,bunjes,
820,"Saviour Of The Nations, Come","Nun Komm, der Heiden Heiland",the parish organist part three,10,buttstedt,
821,"Saviour, Again To Thy Dear Name",Ellers,favorite hymns for organ,20,hebble,
822,"Saviour, Like A Shepherd Lead Us",,softly and tenderly: organ meditations on well-known gospel hymns,26,wood,
823,See How Great A Flame Aspires,Arfon,pull out all the stops volume 3,25,scriveyner,
824,"See, The Conqueror Mounts In Triumph",Rex Gloriae,the parish organist part twelve,12,niblock,
825,Send The Light,McCabe,blessed be the name,39,turner,
826,Sent Forth By God's Blessing,The Ash Grove,11 compositions for organ set 5,50,ore,
827,Serenade,,prelude to the wedding for organ,40,widor,
828,Serenity,,chimings for organ,25,wells,
829,Shall We Gather At The River,At the River,american folk hymn suite for organ,7,burkhardt,
830,Shall We Gather At The River,,best ever gospel songs for organ,21,sewell,
831,Shall We Gather At The River,Hanson Place,our gospel legacy: easy hymn arrangements for organ,3,smith,
832,Share His Love With All The World,,go forth in faith: festive music of praise for organ,10,watkins,
833,Shepherds! Shake Off Your Drowsy Sleep,,spirituals and more for organ,22,rinehart,
834,Simple Gifts,,favorite hymns for organ,3,hebble,
835,Simple Gifts,,simple gifs: four american hymn preludes for organ,4,kosche,
836,Sinfonia,,baroque music for manuals,15,purcell,
837,Sing A New Song,,sing a new song,14,wagner,
838,Sing Praise To God,Mit Freuden Zart,ancient of days 3 hymns of praise,2,laubengaye,
839,Sing Praise To God Who Reigns Above,Mit Freuden Zart,every time i feel the spirit,28,elliott,
840,Sing Praise To God Who Reigns Above,Mit Freuden Zart,"loud praise to christ, our king! festive hymn settings for organ",40,martin,
841,Sing To God With Heart And Voice,,from this day forward,90,williams,
842,Sing To His Name,,pipe dusters vol 3,26,martin,
843,Sing To The Lord Of Harvest,Steurlein,pipe dusters vol 3,16,eliot,Thanksgivin
844,Sing To The Lord Of Harvest,Steurlein,power and praise: festive organ music for the service,36,eliot,
845,Sing We Now Of Christmas,French Carol,easy organ library vol 58,55,krug,Christmas
846,Sing We Now Of Christmas,,big brown book of organ solos,82,griffin,
847,Slane,Slane,"o love, how deep: three hymn settings for organ",3,phillips,
848,Softly And Tenderly,,blessed assurance,35,varner,
849,Softly And Tenderly,Thompson,best ever gospel songs for organ,6,stockton,
850,Softly And Tenderly,,gospel hymn settings,2,held,
851,Softly And Tenderly,,organ preludes on hymns old and new,9,hustad,
852,Softly And Tenderly,,three nineteenth century revival hymns,12,ferguson,
853,Softly And Tenderly,,softly and tenderly: organ meditations on well-known gospel hymns,5,wood,
854,Soldiers Of The Lord,,power and praise: festive organ music for the service,29,hill,
855,Someone's Praying Lord,Kum Ba Yah,easy organ library vol 58,98,wagner,
856,Somerset Hills,Somerset Hills,the bristol collection,15,hancock,
857,Song For A New Year,,the organist in season: winter,38,martin,Epiphany
858,Soul Adorn Thyself With Gladness,Schmuecke dich,the parish organist part three,52,brahms,
859,Sound The Trumpet Of Victory,,"o sacred head: an organ collection for palm sunday, holy week and easter",44,harris,Easter
860,Souvenir,,prelude to the wedding for organ,24,hegarty,
861,Spirit Of God,Morecambe,the complete organist,69,smith,Pentecost
862,"Spirit Of God, Descend Upon My Heart",Morecambe,hymns for organ: artistic expressions of faith and joy,11,hayes,
863,"Spirit Of God, Descend Upon My Heart",,organ preludes on hymns old and new,14,hustad,
864,"Spread, Oh Spread, Thou Mighty Word",Hochster Priester,the parish organist part twelve,42,bouman,
865,St. Anne Ricercare,St. Anne,the organist in season: summer,28,young,General
866,St.Anthony Chorale,St. Anthony,the parish organist: wedding music,21,brahms,
867,"Stand Up, Stand Up For Jesus",,pipe dusters,53,mansfield,
868,Stretch Forth Thine Hane To Heal,,favorite hymns for organ,30,hebble,
869,"Stricken, Smitten, And Afflicted","O Mein Jesu, Ich Muss Sterben","were you there: easy hymn preludes for palm sunday, holy week, and easter",16,kerr,Lent
870,Surely Goodness And Mercy,,he leadeth me: organ solos,16,whitworth,
871,Sweet Hour Of Prayer,Sweet Hour,chimings for organ,12,ritter,
872,Sweet Hour Of Prayer,,best ever gospel songs for organ,24,bradbury,
873,Sweet Hour Of Prayer,,organ preludes on hymns old and new,28,hustad,
874,Sweet Hour Of Prayer,Sweet Hour,nine hymn preludes for organ,10,young,
875,Sweet Hour Of Prayer,,a quiet time in the garden of prayer,2,caudill,
876,Sweet Hour Of Prayer,,softly and tenderly: organ meditations on well-known gospel hymns,17,wood,
877,"Sweet, Sweet Spirit",,a quiet time in the garden of prayer,35,caudill,
878,Swing Five,"Erhault uns, Herr","organ, timbrel, and dance",4,michel,
879,Symphony From The Bell Anthem,,the parish organist: wedding music,17,purcell,
880,Take My Life And Let It Be,Hendon,come to the alter,6,smith,
881,Take My Life And Let It Be,Hendon,god with us: eleven pieces for organ,30,diemer,
882,Take My Life And Let It Be,Patmos,the parish organist part three,34,hulse,
883,"Take This Bread, Take This Cup",,communion call-meditations for organ,44,smith,
884,Take Thou My Hands And Lead Me,So nimm denn meine Haende,the parish organist: wedding music,22,wienhorst,
885,Take Time To Be Holy,Holiness,close to thee: artistic organ settings of eduring gospel songs,4,southbridge,
886,Take Time To Be Holy,Holiness,best ever gospel songs for organ,18,smith,
887,Te Deum,,the complete wedding collection ii,22,charpentier,
888,Tell Me About Jesus,,fill the earth with music: easy music for organ,29,keyser,
889,Tell Me The Story Of Jesus,Story of Jesus,best ever gospel songs for organ,12,becket,
890,The Bells Of Christmas,Det kimer Nu Til Julefest,festive hymn settings for advent christmas and epiphany,34,burkhardt,Christmas
891,The Brightest Trumpet,,power and praise: festive organ music for the service,18,ritter,
892,The Call To Victory,,god of glory: easy festive postludes for organ,26,paxton,
893,The Call To Victory,,pull out all the stops volume 3,28,paxton,
894,The Church's One Foundation,Aurelia,the complete organist,108,scott,Reformation
895,The Church's One Foundation,,organ preludes on hymns old and new,1,hustad,
896,The Church's One Foundation,Aurelia,six general hymn improvisations set 2,13,burkhardt,
897,The Church's One Foundation,Aurelia,pull out all the stops volume 3,13,mansfield,
898,The Clarion Call,,pull out all the stops volume 3,34,smith,
899,"The Day Thou Gavest, Lord, Is Ended",St. Clement,god with us: eleven pieces for organ,18,diemer,
900,The Everlasting Arms,,gospel hymn settings,4,held,
901,The Everlasting Arms,Showalter,the everlasting arms,3,smith,
902,The Festive Trumpet,,pull out all the stops volume 3,16,glyncannon,
903,The First Noel ,The First Nowell,festive hymn settings for advent christmas and epiphany,40,burkhardt,Christmas
904,The First Noel ,The First Nowell,festive hymn settings for advent christmas and epiphany,40,burkhardt,Epiphany
905,The Garden Of Prayer,,the complete organist,14,broughton,Holy Week
906,The Gates Of Jerusalem,,"o sacred head: an organ collection for palm sunday, holy week and easter",12,paxton,Palm Sun
907,The Gift Of Love,,four hymn meditations for organ,10,pethel,
908,The God Of Abraham Praise,Leoni,churchworks,10,koch,
909,The God Of Abraham Praise,Leoni,five preludes on familiar hymns for organ,8,hopson,
910,The God Of Abraham Praise,Leoni,every time i feel the spirit,18,elliott,
911,The God Of Abraham Praise,Leoni,nine hymn preludes for organ,6,young,
912,The God Of Abraham Praise,Yigdal,praise and thanksgiving hymn improvisations set 3,9,burkhardt,
913,The Golden Carol,,spirituals and more for organ,18,rinehart,
914,The Greatness Of The Lord,,go forth in faith: festive music of praise for organ,14,miles,
915,The Head That Once Was Crowned,St. Magnus,six preludes for the church year,20,hobby,Easter
916,The Head That Once Was Crowned,St. Magnus,the parish organist part twelve,32,barlow,
917,The Holly And The Ivy,,big brown book of organ solos,88,torrans,
918,The Holy Wings,Bred Dina Vida Vingar,morning has broken: three quiet hymn settings for worship,8,langlois,
919,The Joyful Trumpet,,go forth in faith: festive music of praise for organ,19,harris,
920,The Joyous Heart,,god of glory: easy festive postludes for organ,6,peterson,
921,The King Of Glory,,easter glory! festive organ music for the season,32,wells,Easter
922,The King Of Love My Shepherd Is,St. Columba,favorite hymns for organ,48,hebble,
923,The King Of Love My Shepherd Is,St. Columba,funeral music for a manuals,6,callahan,Funeral
924,The King Of Love My Shepherd Is,St. Columba,the parish organist part twelve,20,krapf,
925,The King Shall Come,Consolation,an american suite for organ,16,dahl,
926,The King Shall Come,Wyeth's Repository of Sacred Music,americana organ settings of early american hymns,5,martin,
927,The King Shall Come When Morning Dawns,St. Stephen,the parish organist part twelve,38,manz,
928,"The Lone, Wild Bird",Prospect,easy organ library vol 58,15,lau,
929,"The Lone, Wild Bird",Prospect,eight hymn preludes for organ,7,diemer,
930,"The Lord Reigns, Alleluia!",,god of glory: easy festive postludes for organ,29,peterson,
931,The Lord's My Shepherd,,"rejoice, the lord is king",40,haan,
932,"The Lord's My Shepherd, I'll Not Want",Crimond,nine hymn preludes for organ,25,young,
933,The Love Of God,Love of God,glad adoration,43,hamlin,
934,The Master Has Called Us,Ash Grove,gather in praise: ten hymns of praise for organ,24,ritter,
935,The Master Has Called Us,Ash Grove,four hymn meditations for organ,18,pethel,
936,The Master Hath Come,Ash Grove,fill the earth with music: easy music for organ,1,bailey,
937,The Name Of Jesus,,blessed be the name,26,lorenz,
938,The Old Rugged Cross,Old Rugged Cross,fill the earth with music: easy music for organ,12,keyser,
939,The Old Rugged Cross,The Old Rugged Cross,our gospel legacy: easy hymn arrangements for organ,6,thygerson,
940,The Old Rugged Cross,,a quiet time in the garden of prayer,18,caudill,
941,The Old Rugged Cross,,softly and tenderly: organ meditations on well-known gospel hymns,29,wood,
942,The People That In Darkness Sat,"Lobt Gott, Ihr Christen",festive hymn settings for advent christmas and epiphany,59,burkhardt,Christmas
943,The Power And The Glory,,pull out all the stops volume 3,43,smith,
944,The Precious Blood Of Jesus,,blessed be the name,32,broughton,
945,The Risen Christ!,,the complete organist,94,peterson,Easter
946,The Shepherd's Song,Drew,the organist in season: winter,24,martin,Christmas
947,The Solid Rock,Solid Rock,the everlasting arms,12,smith,
948,The Stranger Of Galilee,,blessed be the name,20,keeney,
949,The Strife Is O'er,Victory,risen & exalted an eastertide celebration for organ,3,smith,Easter
950,The Strife Is O'er,Victory,funeral music for a manuals,8,callahan,Funeral
951,The Strife Is O'er,Victory,easter glory! festive organ music for the season,28,smith,Easter
952,The Trumpet Shall Sound,,easter glory! festive organ music for the season,24,handel,Easter
953,The Trumpets Of Heaven,,pipe dusters vol 3,3,paxton,
954,The Voice That Breathed O'er Eden,Eden,choral preludes based on famous hymn tunes vol 5,23,rowley,
955,The Way Of The Cross Leads Home,Way of the Cross,our gospel legacy: easy hymn arrangements for organ,46,davis,
956,The Way Of The Cross Leads Home,Way of the Cross,pull out all the stops volume 3,40,davis,
957,Thee We Adore,Adoro te Devote,the organist in season: autumn,6,hebble,
958,There In God's Garden,Shades Mountain,o god beyond all praising,12,cherwien,
959,There In God's Garden,Shades Mountain,many and great hymn settings for organ,24,farlee,
960,There Is A Balm In Gilead,Balm in Gilead,adoration,21,lau,
961,There Is A Balm In Gilead,,a spiritual service based on african-american spirituals,6,inniss,
962,There Is A Fountain ,Cleansing Fountain,best ever gospel songs for organ,16,davidson,
963,There Is A Fountain Filled With Blood,Cleansing Fountain,americana organ settings of early american hymns,18,martin,
964,There Is A Green Hill Far Away,Green Hill,"o sacred head: an organ collection for palm sunday, holy week and easter",18,warriner,Holy Week
965,There Is A Green Hill Far Away,Green Hill,communion call-meditations for organ,39,glyncannon,
966,There's A Wideness In God's Mercy,"Lord, Revive Us",many and great hymn settings for organ,28,farlee,
967,They'll Know We Are Christians,St. Brendan's,easy organ library vol 58,22,leatherman,
968,Thine Forever! God Of Love,Savannah,the parish organist part twelve,42,bouman,
969,Thine Is The Glory,Judas Maccabeus,risen & exalted an eastertide celebration for organ,6,smith,Easter
970,Thine Is The Glory,Judas Maccabeus,"o sacred head: an organ collection for palm sunday, holy week and easter",28,glyncannon,Easter
971,This Is My Father's World,Terra Beata,the organist in season: summer,32,martin,Home
972,This Joyful Eastertide,Vruechten,the organist in season: spring,36,wood,Easter
973,This Little Light Of Mine,,spirituals and more for organ,4,rinehart,
974,"Thou Art The Way, To Thee Alone",St. James,the parish organist part twelve,30,krapf,
975,Though I May Speak,"O Waly, Waly",eight hymn preludes for organ,4,diemer,
976,Throned Upon The Awful Tree,Arfon,continuous communion meditations for organ,9,parker,Lent
977,"Thy Kingdom Come, O God!",St. Cecilia,the parish organist part twelve,18,boda,
978,Thy Table I Approach,St. Michael,the parish organist part three,21,bender,
979,Tis So Sweet To Trust In Jesus,Trust in Jesus,the everlasting arms,24,smith,
980,Tis So Sweet To Trust In Jesus,Trust in Jesus,our gospel legacy: easy hymn arrangements for organ,31,smith,
981,Title,TUNE,book,PAGE,composer/arranger,SEASON
982,To God All Glory Given,,pull out all the stops volume 3,10,sawyer,
983,To God Be The Glory,To God Be the Glory,easy organ library vol 58,48,johnson,
984,To God Be The Glory,To God Be the Glory,all hymns bright and beautiful,16,parker,
985,To God Be The Glory,,best ever gospel songs for organ,8,burkhardt,
986,To God Be The Glory,To God Be the Glory,our gospel legacy: easy hymn arrangements for organ,12,parker,
987,To The Glory Of God,,go forth in faith: festive music of praise for organ,31,peterson,
988,Toccata Eroica,,pipe dusters,56,broughton,
989,Toccata For A Feast Day,,pipe dusters,41,smith,
990,Toccata For Easter Morning,Christ ist Erstanden,the organist in season: spring,6,martin,Easter
991,Tranquil Waters,,chimings for organ,6,scriveyner,
992,Traumerei,,prelude to the wedding for organ,12,schumann,
993,Triumphal March,,"o sacred head: an organ collection for palm sunday, holy week and easter",4,turner,Palm Sun
994,Trumpet Finale,,baroque music for manuals,27,albinoni,
995,Trumpet March,,baroque music for manuals,5,clarke,
996,Trumpet Postlude,,pipe dusters vol 3,30,koury,
997,Trumpet Tune,,adoration,18,lau,
998,Trumpet Tune,,baroque music for manuals,8,handel,
999,Trumpet Tune,,baroque music for manuals,22,vivaldi,
1000,Trumpet Tune,,the complete wedding collection,58,clarke,
1001,Trumpet Tune,,god of glory: easy festive postludes for organ,44,harris,
1002,Trumpet Tune,,from this day forward,62,clarke,
1003,Trumpet Tune,,prelude to the wedding for organ,19,mccrory,
1004,Trumpet Tune,,the parish organist: wedding music,11,purcell,
1005,Trumpet Tune,,the parish organist: wedding music,16,purcell,
1006,Trumpet Tune In C,,easy organ library vol 58,70,ryan,
1007,Trumpet Voluntary,,old english organ music for manuals book 2,8,goodwin,
1008,Trumpet Voluntary,,the parish organist: wedding music,15,clarke,
1009,Trumpet Voluntary In D,,the complete wedding collection ii,12,stanley,
1010,Trumpet Voluntary Organ,,from this day forward,54,clarke,
1011,Trumpet Voluntary Prince Of Denmark,,the complete wedding collection,38,clarke,
1012,Una Sancta,Una Sancta,the bristol collection,17,hancock,
1013,Unto Us A Child Is Born,,pipe dusters,34,bach,
1014,Up From The Grave He Arose,,three nineteenth century revival hymns,16,ferguson,Easter
1015,"Variants On ""St. Anne""",St. Anne,easy organ library vol 58,82,williamson,
1016,Variations For Thanksgiving,,the complete organist,22,curtis,Thanksgiving
1017,Variations On Old Hundredth,Old Hundredth,the bristol collection,27,hancock,
1018,Veni Emmanuel Prelude,Veni Emmanuel,the organist in season: winter,15,wyton,Avent
1019,"Veni, Creator Spiritus Prelude",,the organist in season: spring,46,wyton,Pentecost
1020,Voluntary In A Minor,,old english organ music for manuals book 2,4,boyce,
1021,Voluntary In E Minor,,old english organ music for manuals book 2,18,stanley,
1022,Voluntary In G Minor,,old english organ music for manuals book 2,12,roseingrave,
1023,"Wake, Awake, For Night Is Flying",Wachet Auf,six preludes for the church year,3,hobby,Advent
1024,We Come To The Hungry Feast,Hungry Feast,o god beyond all praising,8,cherwien,
1025,We Gather Together,Kremser,the complete organist,116,ritter,Thanksgiving
1026,We Know That Christ Is Raised,Engelberg,david cherwien hymn interpretation series: holy week & easter,14,cherwien,Easter
1027,We Plow The Fields,Wir Pflugen,the complete organist,102,prentiss,Thanksgiving
1028,We Plow The Fields,San Fernado,amen: world hymns for organ,30,kerr,
1029,We Plow The Fields And Scatter,Wir pflugen,praise and thanksgiving hymn improvisations set 7,22,burkhardt,
1030,"We Praiseyou, O God",Kremser,the organist in season: autumn,32,wood,
1031,We Shall Walk Through The Valley,Valley,fill the earth with music: easy music for organ,6,keyser,
1032,We Three Kings,,the organ music of richard purvis three christmas preludes,9,purvis,Epiphany
1033,We Three Kings,Kings of Orient,the organist in season: winter,45,haan,Epiphany
1040,We're Marching To Zion,,gospel hymn settings,8,held,
1045,We've A Story To Tell,Message,our gospel legacy: easy hymn arrangements for organ,25,turner,
1034,Wedding March From Midsummer Night's Dream,,the complete wedding collection,46,mendelssohn,
1035,Wedding March From Midsummer Night's Dream,,from this day forward,60,mendelssohn,
1036,Wedlock,Wedlock,americana organ settings of early american hymns,14,martin,
1037,"Welcome, Happy Morning!",Fortunatus,easter glory! festive organ music for the season,46,broughton,Easter
1038,"Welcome,Happy Morning",Fortunatus,risen & exalted an eastertide celebration for organ,15,smith,Easter
1039,Wer Nur Den Lieben Gott,Wer nur den lieben Gott,"o love, how deep: three hymn settings for organ",8,phillips,
1041,Were You There,Were You There,"were you there: easy hymn preludes for palm sunday, holy week, and easter",18,kerr,Good Friday
1042,Were You There,Were You There,continuous communion meditations for organ,6,parker,Lent
1043,Were You There,,the organist in season: spring,21,martin,Holy Week
1044,Westminster Abbey Voluntary,,voluntary on westminster abbey,,purcell,
1046,What A Friend We Have In Jesus,Converse,god with us: eleven pieces for organ,27,diemer,
1047,What A Friend We Have In Jesus,Converse,our gospel legacy: easy hymn arrangements for organ,19,birchwood,
1048,What A Friend We Have In Jesus,,softly and tenderly: organ meditations on well-known gospel hymns,11,wood,
1049,What Wondrous Love Is This,Wondrous Love,an american suite for organ,34,dahl,Lent
1050,When Christ Was Born,Da Christus geboren war,the parish organist part twelve,66,koch,
1051,When He Cometh,Jewels,nine hymn preludes for organ,18,young,
1052,When I Survey The Wondrous Cross,Hamburg,david cherwien hymn interpretation series: holy week & easter,9,cherwien,Good Friday
1053,When I Survey The Wondrous Cross,Hamburg,continuous communion meditations for organ,3,parker,Lent
1054,When I Survey The Wondrous Cross,Hamburg,the organist in season: spring,40,whitworth,Holy Week
1055,When I Survey The Wondrous Cross,Rockingham Old,six preludes for the church year,18,hobby,Lent
1056,When The Roll Is Called Up Yonder,,blessed assurance,30,varner,
1057,When The Roll Is Called Up Yonder,Roll Call,six gospel hymn preludes,12,held,
1058,When Thou Art Near (Bist Du Bei Mir),,from this day forward,20,bach,
1059,When Twilight Comes,Dapit Hapon,amen: world hymns for organ,33,kerr,
1060,When We Are Living,Somas del Senor,eight hymn preludes for organ,18,diemer,
1061,When You Woke That Thursday Morning,Joyous Light,"were you there: easy hymn preludes for palm sunday, holy week, and easter",10,kerr,
1062,Where Cross The Crowded Ways Of Life,Germany,fill the earth with music: easy music for organ,25,keyser,
1063,Where He Leads Me,Norris,come to the alter,18,smith,
1064,Where'er You Walk From Semele,,from this day forward,34,handel,
1065,Wherever I May Wander,New England,eight hymn preludes for organ,14,diemer,
1066,While Shepherd Watched Their Flocks,,big brown book of organ solos,97,griffin,
1067,Whispering Hope,,blessed be the name,29,hawthorne,
1068,Who At My Door Is Standing,Everett,chimings for organ,42,broughton,
1069,With Praises All Unite,,easy organ library vol 58,96,sweelinck,
1070,With Reverence Let The Saints Appear,Reflection,the complete organist,75,smith,All Saints Da
1071,With The Saints Glory Shining,,easy organ library vol 58,20,broughton,
1072,Wonderful Words Of Life,,gospel hymn settings,14,held,
1073,Wonderful Words Of Life,Words of Life,fill the earth with music: easy music for organ,24,keyser,
1074,Wonderful Words Of Life,,he leadeth me: organ solos,13,whitworth,
1075,"Word Of God, Across The Ages",Austrian Hymn,go forth in faith: festive music of praise for organ,40,smith,
1076,Worthy Of Worship,Judson,glad adoration,31,hamlin,
1077,Ye Holy Angels Bright,Darwell,choral preludes based on famous hymn tunes vol 5,11,rowley,
1078,Ye Holy Angels Bright,Darwall's 148th,pull out all the stops volume 3,19,ritter,
1079,Ye Watchers And Ye Holy Ones,Lasst uns Erfreuen,the organist in season: summer,3,krapf,Holy Trinity
1080,You Are My Hiding Place,,a quiet time in the garden of prayer,23,caudill,
1081,You Have Come Down To The Lakeshore,Pescador de Hombres,amen: world hymns for organ,36,kerr,
1082,You Have Come Down To The Lakeshore,Pescador de Hombres,many and great hymn settings for organ,30,farlee,
